author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Absolute Premium;developer;https://www.cian.ru/sale/flat/292332298/;Москва;sale;flat;13;18;4;156.2;139936000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/294513494/;Москва;sale;flat;22;33;4;181.4;142000000;Раменки;Мосфильмовская ;8;Минская;Дом на Мосфильмовской
Пионер;developer;https://www.cian.ru/sale/flat/297834634/;Москва;sale;flat;6;11;4;136.5;115189210;Даниловский;;;Павелецкая;Опус ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/281590820/;Москва;sale;flat;3;14;4;200.0;430000000;Хамовники; Усачева;11Г;Фрунзенская;Садовые кварталы
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298849172/;Москва;sale;flat;8;10;4;99.0;46797300;;;В14 кв-л;Павшино;Сберсити ЖК
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/298209370/;Москва;sale;flat;8;14;4;172.0;210000000;Таганский;Тетеринский переулок;18с2;Таганская;Шоколад
ЭЛИТА-ЭКО;developer;https://www.cian.ru/sale/flat/292406311/;Москва;sale;flat;2;14;4;100.3;78936100;Дорогомилово;1-й Можайский тупик;8АС1;Киевская;D'ORO MILLE
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/298205927/;Москва;sale;flat;11;24;4;212.0;112000000;Пресненский;Шмитовский проезд;16С1;Улица 1905 года;Шмитовский 16
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/299935010/;Москва;sale;flat;7;13;4;147.96;63726372;;;В21 кв-л;Опалиха;Сберсити ЖК
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/299456268/;Москва;sale;flat;4;9;4;199.0;230000000;Хамовники;Малый Левшинский переулок;5К2;Парк Культуры;
Главстрой;developer;https://www.cian.ru/sale/flat/296921048/;Москва;sale;flat;2;13;4;124.7;57887610;Филевский парк;Береговой проезд;2;Народное Ополчение;Береговой-2
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/298983974/;Москва;sale;flat;2;7;4;248.0;105000000;Крылатское;Крылатская ;45К4;Крылатское;Долина грез
Hutton Development;developer;https://www.cian.ru/sale/flat/293911241/;Москва;sale;flat;-1;-1;-1;202.0;458200000;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/293449690/;Москва;sale;flat;14;52;4;107.7;53000000;Раменки;Мичуринский проспект;56;Раменки;Небо — Небоскребы на Мичуринском, 56
Neva Towers;developer;https://www.cian.ru/sale/flat/298051540/;Москва;sale;flat;37;66;4;209.7;175309200;Пресненский;1-й Красногвардейский проезд;22с1;Выставочная;NEVA TOWERS
SKYEST;real_estate_agent;https://www.cian.ru/sale/flat/298730953/;Москва;sale;flat;27;42;4;114.0;67000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
EraOneHolding;developer;https://www.cian.ru/sale/flat/274789013/;Москва;sale;flat;5;8;4;222.5;159263158;Арбат; Арбат;24;Смоленская;Turandot Residences
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/297113067/;Москва;sale;flat;10;58;4;106.0;56700000;Хорошево-Мневники; Народного Ополчения;15К3;Народное Ополчение;Wellton Towers
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298516226/;Москва;sale;flat;6;12;4;162.26;69836704;;;В19 кв-л;Павшино;Сберсити ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/298474019/;Москва;sale;flat;27;41;4;109.7;67000000;Хорошевский;Ленинградский проспект;37/3;Динамо;Прайм Парк
Sminex;developer;https://www.cian.ru/sale/flat/296278084/;Москва;sale;flat;12;13;4;115.7;75330000;Раменки;проспект Генерала Дорохова;39к2;Минская;Собрание клубных домов West Garden
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/295114890/;Москва;sale;flat;20;41;4;162.9;115000000;Хорошевский;Ленинградский проспект;37/3;Динамо;Прайм Парк
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/295043134/;Москва;sale;flat;8;13;4;163.56;90710376;;;В20 кв-л;Павшино;Сберсити ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/293781651/;Москва;sale;flat;10;41;4;112.8;110000000;Хорошевский;Ленинградский проспект;37/6;Динамо;Прайм Парк
Пионер;developer;https://www.cian.ru/sale/flat/298380180/;Москва;sale;flat;14;18;4;112.8;110578629;Донской;2-й Донской проезд;10;Ленинский проспект;SHIFT
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/273469240/;Москва;sale;flat;37;41;4;135.3;125000000;Хорошевский;Ленинградский проспект;37/6;Динамо;Прайм Парк
FORMA;developer;https://www.cian.ru/sale/flat/298003582/;Москва;sale;flat;23;26;4;126.55;101531065;Пресненский;к2.1;к2.1;Белорусская;Репаблик ЖК
ID 112591621;homeowner;https://www.cian.ru/sale/flat/297739236/;Москва;sale;flat;32;45;4;88.8;53500000;Дорогомилово;Кутузовский проезд;16А/1;Международная;River Park Кутузовский
Группа Родина;developer;https://www.cian.ru/sale/flat/293200689/;Москва;sale;flat;13;13;4;130.6;44342800;; 1-я Ватутинская;12к2;Ольховая;Russian Design District
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/296325197/;Москва;sale;flat;38;58;4;108.6;59990000;Хорошево-Мневники; Народного Ополчения;15К3;Народное Ополчение;Wellton Towers
Мангазея;developer;https://www.cian.ru/sale/flat/299167970/;Москва;sale;flat;18;21;4;124.1;70985200;Щукино;Щукинская ;3;Щукинская;Интонация
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/298457776/;Москва;sale;flat;30;53;4;107.0;59000000;Хорошево-Мневники; Народного Ополчения;15К3;Народное Ополчение;Wellton Towers
ID 39404589;developer;https://www.cian.ru/sale/flat/300035891/;Москва;sale;flat;22;34;4;82.9;34204540;Обручевский;;;Калужская;Эвер ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/296325192/;Москва;sale;flat;11;58;4;108.2;45000000;Хорошево-Мневники; Народного Ополчения;15К3;Народное Ополчение;Wellton Towers
Компания Пионер;developer;https://www.cian.ru/sale/flat/295410831/;Москва;sale;flat;6;26;4;104.4;67964400;Даниловский;;;Павелецкая;Хай Лайф ЖК
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/293865875/;Москва;sale;flat;6;6;4;156.0;234000000;Замоскворечье;Садовническая набережная;7;Новокузнецкая;BALCHUG VIEWPOINT
Regions Development;developer;https://www.cian.ru/sale/flat/299905687/;Москва;sale;flat;17;17;4;123.79;73993187;Преображенское;Жилой комплекс Преображенская площадь;;Преображенская площадь;Преображенская площадь
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299382102/;Москва;sale;flat;33;34;4;121.9;54900000;Обручевский; Архитектора Власова;71к2;Воронцовская;
Ташир;developer;https://www.cian.ru/sale/flat/274701409/;Москва;sale;flat;2;17;4;123.8;51996000;Раменки;Мичуринский проспект;вл30Б;Раменки;Legacy
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/294608040/;Москва;sale;flat;2;6;4;214.0;330000000;Раменки;Минская ;2Вк3;Минская;Снегири Эко
Э.К. Девелопмент;developer;https://www.cian.ru/sale/flat/295094227/;Москва;sale;flat;11;25;4;105.5;38507500;Хорошевский; Маргелова;3к4;Беговая;Авиатика
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/299288030/;Москва;sale;flat;4;12;4;101.0;68900000;Раменки;проспект Генерала Дорохова;39к1Д;Минская;Собрание клубных домов West Garden
Стадион Спартак;developer;https://www.cian.ru/sale/flat/276650544/;Москва;sale;flat;11;22;4;142.5;91242750;Покровское-Стрешнево;Северо-Западный ао;;Спартак;Клубный Город на Реке Примавера ЖК
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/297047636/;Москва;sale;flat;41;53;4;108.5;46000000;Хорошево-Мневники; Народного Ополчения;15К3;Народное Ополчение;Wellton Towers
Основа;developer;https://www.cian.ru/sale/flat/292153909/;Москва;sale;flat;-1;-1;-1;85.7;33851500;Хорошево-Мневники;2-й Силикатный проезд;;Полежаевская;Emotion
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/293660144/;Москва;sale;flat;2;14;4;131.0;84000000;Раменки;проспект Генерала Дорохова;39к1Г;Минская;Собрание клубных домов West Garden
ASTERUS;representative_developer;https://www.cian.ru/sale/flat/299661854/;Москва;sale;flat;7;11;4;107.8;45838200;Покровское-Стрешнево;;;Тушинская;Алиа ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/295035055/;Москва;sale;flat;7;11;4;203.0;140000000;Аэропорт;Ленинградский проспект;36с31;Петровский Парк;ВТБ Арена парк
Киноцентр;developer;https://www.cian.ru/sale/flat/300126281/;Москва;sale;flat;12;20;4;169.23;154966280;Пресненский;;;Краснопресненская;Скай Вью ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/298969311/;Москва;sale;flat;11;38;4;150.0;82500000;Раменки;Мосфильмовская ;70к3;Ломоносовский проспект;Воробьевы Горы
Группа Родина;developer;https://www.cian.ru/sale/flat/285606957/;Москва;sale;flat;15;23;4;127.9;63766300;Ростокино;;к1;Ботанический сад;Союз ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/263174492/;Москва;sale;flat;3;18;4;161.6;55000000;Ломоносовский; Архитектора Власова;6;Профсоюзная;Вавилово
Донстрой;developer;https://www.cian.ru/sale/flat/296482745/;Москва;sale;flat;2;14;4;154.8;83592000;Раменки; Сергея Бондарчука;2;Мичуринский проспект;Река
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299464258/;Москва;sale;flat;3;12;4;181.0;217550075;Хамовники;Малая Пироговская ;8;Спортивная;Barrin House
Основа;developer;https://www.cian.ru/sale/flat/286250319/;Москва;sale;flat;-1;-1;-1;202.0;207600000;Красносельский;проспект Академика Сахарова;11;Красные ворота;RED7
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/295060027/;Москва;sale;flat;6;18;4;121.9;46000000;Ломоносовский; Архитектора Власова;6;Профсоюзная;Вавилово
Forma;developer;https://www.cian.ru/sale/flat/299742350/;Москва;sale;flat;19;25;4;107.0;51081800;Аэропорт;Часовая ;28к8;Сокол;SOUL
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/298980804/;Москва;sale;flat;6;41;4;91.0;79990000;Хорошевский;Ленинградский проспект;37/3;ЦСКА;Прайм Парк
Sminex;developer;https://www.cian.ru/sale/flat/293711753/;Москва;sale;flat;11;27;4;125.07;71460000;Марфино; Академика Королева;21;Телецентр;Дом Достижение
Acropol;real_estate_agent;https://www.cian.ru/sale/flat/297233034/;Москва;sale;flat;3;4;4;142.0;85000000;Тверской; Петровка;24С3;Трубная;
Основа;developer;https://www.cian.ru/sale/flat/297432124/;Москва;sale;flat;-1;-1;-1;202.0;35609250;Марфино;;к2;Владыкино;Вери ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299872307/;Москва;sale;flat;10;37;4;112.8;110000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Основа;developer;https://www.cian.ru/sale/flat/297550727/;Москва;sale;flat;-1;-1;-1;202.0;29490500;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/298279948/;Москва;sale;flat;7;41;4;132.9;78500000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
Ташир;developer;https://www.cian.ru/sale/flat/271161275/;Москва;sale;flat;21;21;4;193.2;96600000;Очаково-Матвеевское;Аминьевское шоссе;6;Давыдково;West Tower (Апартаменты бизнес-класса)
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/277466643/;Москва;sale;flat;4;5;4;170.0;230000000;Хамовники;Гагаринский переулок;24/7С2;Смоленская;
GloraX;developer;https://www.cian.ru/sale/flat/295853267/;Москва;sale;flat;16;21;4;122.73;71799999;Беговой; 1-я Ямского Поля;28С3;Белорусская;GloraX Premium Белорусская
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/297707406/;Москва;sale;flat;4;6;4;140.7;140700000;Пресненский;Большой Предтеченский переулок;22;Краснопресненская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/297950118/;Москва;sale;flat;18;20;4;127.0;60579000;Басманный; Фридриха Энгельса;56;Бауманская;Дом 56
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299872314/;Москва;sale;flat;20;41;4;164.0;115000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/299025541/;Москва;sale;flat;21;25;4;101.8;34153900;Щукино; Берзарина;32к2.2;Щукинская;Октябрьское поле
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/285555298/;Москва;sale;flat;7;11;4;203.1;140000000;Аэропорт;Ленинградский проспект;36с31;Динамо;ВТБ Арена парк
КРОСТ;developer;https://www.cian.ru/sale/flat/296745632/;Москва;sale;flat;43;47;4;133.1;55902000;Хорошево-Мневники; Генерала Глаголева;14Ак1;;CRYSTAL Трилогия
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/297929292/;Москва;sale;flat;6;12;4;137.0;93000000;Раменки;проспект Генерала Дорохова;39к1Е;Минская;Собрание клубных домов West Garden
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/299564924/;Москва;sale;flat;10;18;4;106.8;34603200;Головинский;Михалковская ;48С8;Коптево;Михалковский
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/282551748/;Москва;sale;flat;6;8;4;170.0;204000000;Раменки;Мосфильмовская ;1А;Фрунзенская;Вишневый сад
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/280126767/;Москва;sale;flat;2;25;4;87.5;34597500;Савеловский;Старый Петровско-Разумовский проезд;1/23С5;Гражданская;Петровский парк II
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/291342956/;Москва;sale;flat;6;6;4;169.0;90000000;Пресненский;Мерзляковский переулок;13;Арбатская;
ID 112819123;developer;https://www.cian.ru/sale/flat/298006460/;Москва;sale;flat;-1;-1;-1;202.0;37063475;Щукино;проезд 4-й Красногорский;3;Стрешнево;Moments
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/275876368/;Москва;sale;flat;12;16;4;200.0;299000000;Раменки;Воробьевское шоссе;4;Студенческая;Воробьёв Дом
Forma;developer;https://www.cian.ru/sale/flat/294068507/;Москва;sale;flat;18;29;4;105.1;40426504;Печатники;Южнопортовая ;;Печатники;Portland
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/293809446/;Москва;sale;flat;2;6;4;214.0;330000000;Раменки;Минская ;2Вк3;Минская;Снегири Эко
Sminex;developer;https://www.cian.ru/sale/flat/299081985/;Москва;sale;flat;8;12;4;119.0;75450000;Сокол; Врубеля;4к1;Панфиловская;Врубеля 4
Istudio;real_estate_agent;https://www.cian.ru/sale/flat/297586854/;Москва;sale;flat;3;8;4;180.0;169900000;Раменки;Минская ;2Вк1;Минская;Снегири Эко
Эталон;developer;https://www.cian.ru/sale/flat/299226484/;Москва;sale;flat;2;15;4;116.0;46660074;Даниловский;2-я оч.;к1.2;ЗИЛ;Shagal
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/292544369/;Москва;sale;flat;4;11;4;204.0;300000000;Хамовники;Погодинская ;4;Фрунзенская;GRAND DELUXE на Плющихе
TOUCH;developer;https://www.cian.ru/sale/flat/289958500/;Москва;sale;flat;7;13;4;131.37;63743000;Южнопортовый;;к3;Дубровка;Шампайн ЖК
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/sale/flat/299894967/;Москва;sale;flat;7;8;4;200.0;119000000;Тверской;Сущевская ;31;Менделеевская;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/298380070/;Москва;sale;flat;4;24;4;97.9;43859200;Щукино;;;Октябрьское поле;Театральный Квартал ЖК
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/291531568/;Москва;sale;flat;8;8;4;200.5;118900000;Тверской;Сущевская ;31;Менделеевская;
Центр-Инвест;developer;https://www.cian.ru/sale/flat/299384205/;Москва;sale;flat;3;35;4;93.9;31408430;Левобережный;Фестивальная ;15к24/1;Речной вокзал;Фестиваль парк-2
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/291019005/;Москва;sale;flat;6;7;4;185.0;119000000;Тверской;Сущевская ;31;Менделеевская;
Центр-Инвест;developer;https://www.cian.ru/sale/flat/298576251/;Москва;sale;flat;19;22;4;105.9;64764098;Красносельский;Большая Спасская ;35;Площадь трёх вокзалов;Dialog
ID 82447170;homeowner;https://www.cian.ru/sale/flat/298754663/;Москва;sale;flat;28;32;4;81.0;28500000;Очаково-Матвеевское;Большая Очаковская ;2;Аминьевская;Большая Очаковская 2
Level Group;developer;https://www.cian.ru/sale/flat/296774483/;Москва;sale;flat;3;33;4;82.7;36796074;Хорошево-Мневники;Причальный проезд;10Б;Шелепиха;Level Причальный
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/236960194/;Москва;sale;flat;3;3;4;170.0;185149000;Мещанский;переулок Печатников;12;Трубная;Печатников 12
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/294618222/;Москва;sale;flat;37;45;4;133.6;91110712;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299163101/;Москва;sale;flat;11;18;4;203.5;152625000;Ломоносовский; Архитектора Власова;6;Профсоюзная;Вавилово
Основа;developer;https://www.cian.ru/sale/flat/295988618/;Москва;sale;flat;14;28;4;88.1;33830400;Головинский;Михалковская ;50;Коптево;UNO.Головинские пруды
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/293956212/;Москва;sale;flat;4;6;4;169.7;190000000;Хамовники; Усачева;11Ж;Спортивная;Садовые кварталы
Level Group;developer;https://www.cian.ru/sale/flat/296358049/;Москва;sale;flat;3;17;4;95.8;38378606;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299158569/;Москва;sale;flat;3;18;4;195.3;124992000;Ломоносовский; Архитектора Власова;6;Профсоюзная;Вавилово
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/296883203/;Москва;sale;flat;13;25;4;110.6;42481460;Лефортово;;;Римская;Символ ЖК
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/293988189/;Москва;sale;flat;28;32;4;146.9;65000000;Хорошевский;Ходынский бульвар;5к4;ЦСКА;Гранд-парк
AFI Development;developer;https://www.cian.ru/sale/flat/298009946/;Москва;sale;flat;17;53;4;114.0;38663100;Свиблово;проезд Серебрякова;11-13к1;Свиблово;Afi Tower
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/299251933/;Москва;sale;flat;14;15;4;136.5;175000000;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
MR Group;developer;https://www.cian.ru/sale/flat/291096158/;Москва;sale;flat;2;29;4;101.4;30000018;Южнопортовый;Волгоградский проспект;32/3к4;Угрешская;Метрополия
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299153858/;Москва;sale;flat;6;18;4;203.4;146448000;Ломоносовский; Архитектора Власова;6;Профсоюзная;Вавилово
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/299889706/;Москва;sale;flat;34;50;4;126.6;46221660;Раменки;м. Мичуринский проспект;;Мичуринский проспект;Событие
ID 57920821;realtor;https://www.cian.ru/sale/flat/299383091/;Москва;sale;flat;7;8;4;190.0;175000000;Арбат;Гоголевский бульвар;29;Арбатская;Русский модерн
Донстрой;developer;https://www.cian.ru/sale/flat/294584667/;Москва;sale;flat;7;13;4;103.2;49195440;Хорошево-Мневники;Жилой комплекс остров;4-й кв-л;Терехово ;Остров
ЖИR Private;real_estate_agent;https://www.cian.ru/sale/flat/296571329/;Москва;sale;flat;3;11;4;145.0;118000000;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
Level Group;developer;https://www.cian.ru/sale/flat/296357842/;Москва;sale;flat;-1;-1;-1;202.0;27179249;Покровское-Стрешнево;проезд Проектируемый № 3959;;Тушинская;Апартаментный комплекс Level Стрешнево
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/299852985/;Москва;sale;flat;3;10;4;200.0;390000000;Хамовники; Усачева;2С3;Фрунзенская;Фьюжн парк
3SGroup;developer;https://www.cian.ru/sale/flat/298378515/;Москва;sale;flat;1;29;4;105.25;39584600;Богородское;Открытое шоссе;14Д;Бульвар Рокоссовского;Талисман на Рокоссовского
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/296390761/;Москва;sale;flat;25;53;4;150.7;110000000;Раменки;Мосфильмовская ;8;Ломоносовский проспект;Дом на Мосфильмовской
MR Group;developer;https://www.cian.ru/sale/flat/295673193/;Москва;sale;flat;18;19;4;98.31;32145980;Покровское-Стрешнево;Северо-Западный ао;;Трикотажная;Сити Бэй ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/263171085/;Москва;sale;flat;14;18;4;113.4;67500000;Ломоносовский; Архитектора Власова;6;Профсоюзная;Вавилово
Optima Development;developer;https://www.cian.ru/sale/flat/297177646/;Москва;sale;flat;33;41;4;134.3;108506895;Хорошевский;Ленинградский проспект;37/7;Аэропорт;Прайм Парк
Bespoke Estate;real_estate_agent;https://www.cian.ru/sale/flat/295412211/;Москва;sale;flat;8;9;4;150.0;231524000;Раменки;Мосфильмовская ;1А;Ломоносовский проспект;Вишневый сад
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/288175864/;Москва;sale;flat;2;30;4;104.1;28107000;Чертаново Южное;;1.1;Аннино;Варшавские Ворота ЖК
Ашихмин и партнёры;real_estate_agent;https://www.cian.ru/sale/flat/299728149/;Москва;sale;flat;6;9;4;158.13;340000000;Хамовники;Малая Пироговская ;12;Спортивная;
Forma;developer;https://www.cian.ru/sale/flat/297989313/;Москва;sale;flat;16;20;4;86.62;34171431;Даниловский;Автозаводская ;26;Тульская;FORST
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/298112694/;Москва;sale;flat;4;6;4;216.0;350000000;Якиманка;Софийская набережная;18;Боровицкая;Золотой, жилой квартал 2
Level Group;developer;https://www.cian.ru/sale/flat/299579291/;Москва;sale;flat;3;11;4;79.0;20968931;Нижегородский;;;Нижегородская;Левел Нижегородская ЖК
RMRealty;real_estate_agent;https://www.cian.ru/sale/flat/298231845/;Москва;sale;flat;7;24;4;205.0;119000000;Тверской;2-й Щемиловский переулок;5а;Новослободская;Махаон
