author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Sminex;developer;https://www.cian.ru/sale/flat/293713760/;Москва;sale;flat;9;14;4;199.3;567380000;Якиманка;;;Полянка;Лаврушинский ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/297733877/;Москва;sale;flat;80;85;4;294.6;490904058;Пресненский;Московский международный деловой центр Москва-Сити тер.;;Деловой центр;
ID 39404589;developer;https://www.cian.ru/sale/flat/300085948/;Москва;sale;flat;8;28;4;82.8;29750040;Нагорный;;1;Нагорная;Твелв ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/299476204/;Москва;sale;flat;6;8;4;193.4;360000000;Пресненский;Большой Козихинский переулок;25;Пушкинская;Булгаков
MR Group;developer;https://www.cian.ru/sale/flat/299093617/;Москва;sale;flat;23;27;4;97.6;52810300;Даниловский;Дубининская ;59к6;Серпуховская;Павелецкая Сити
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/297231399/;Москва;sale;flat;6;7;4;153.0;160000000;Хамовники; Остоженка;5;Кропоткинская;
Sminex;developer;https://www.cian.ru/sale/flat/294328876/;Москва;sale;flat;3;6;4;176.6;330800000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/288460497/;Москва;sale;flat;6;6;4;324.5;250000000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Regions Development;developer;https://www.cian.ru/sale/flat/299991830/;Москва;sale;flat;18;24;4;136.1;67100354;Нагатинский затон;;;Технопарк;Дрим Тауэрс ЖК
Ашихмин и партнёры;real_estate_agent;https://www.cian.ru/sale/flat/299477912/;Москва;sale;flat;6;6;4;362.6;560000000;Пресненский;Электрический переулок;10;Белорусская;Edison House
Sminex;developer;https://www.cian.ru/sale/flat/298240222/;Москва;sale;flat;2;21;4;120.0;85930000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299054017/;Москва;sale;flat;6;17;4;146.0;145000000;Пресненский; Сергея Макеева;9к3;Улица 1905 года;RedSide
ID 39404589;developer;https://www.cian.ru/sale/flat/300127343/;Москва;sale;flat;2;27;4;86.9;35846250;Даниловский;;;Серпуховская;Era
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299560777/;Москва;sale;flat;6;17;4;146.0;145000000;Пресненский; Сергея Макеева;9к3;Улица 1905 года;RedSide
ANT Development;developer;https://www.cian.ru/sale/flat/300086996/;Москва;sale;flat;2;10;4;135.7;128792205;Дорогомилово;;3к8;Парк Победы;Виктори Парк Резиденсез ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/298826487/;Москва;sale;flat;19;57;4;213.8;120000000;Хорошевский;Чапаевский переулок;3;Аэропорт;Триумф-Палас
Компания Пионер;developer;https://www.cian.ru/sale/flat/293696093/;Москва;sale;flat;11;22;4;92.6;39977735;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/291445703/;Москва;sale;flat;6;32;4;189.2;82000000;Щукино;Авиационная ;79Б;Щукинская;Алые Паруса
VESPER;developer;https://www.cian.ru/sale/flat/289108923/;Москва;sale;flat;5;21;4;161.0;189791517;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
ID 112609323;realtor;https://www.cian.ru/sale/flat/299095523/;Москва;sale;flat;2;6;4;184.9;182681200;Хамовники;Зубовская ;7;Парк Культуры;Roza Rossa
Ташир;developer;https://www.cian.ru/sale/flat/264100269/;Москва;sale;flat;3;32;4;163.8;68265288;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/300102965/;Москва;sale;flat;80;85;4;294.6;490904058;Пресненский;1-й Красногвардейский проезд;21с2;Деловой центр;МФК ОКО
ID 39404589;developer;https://www.cian.ru/sale/flat/299905849/;Москва;sale;flat;30;42;4;83.5;40639450;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/293126875/;Москва;sale;flat;21;23;4;244.1;78000000;Хорошевский; Гризодубовой;2;ЦСКА;Гранд-парк
MR Group;developer;https://www.cian.ru/sale/flat/288222712/;Москва;sale;flat;53;54;4;116.85;62087772;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299317840/;Москва;sale;flat;5;15;4;142.0;92300000;Сокол; Врубеля;4к1;Панфиловская;Врубеля 4
