author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Sminex;developer;https://www.cian.ru/sale/flat/297972146/;Москва;sale;flat;3;5;3;112.4;255050000;Тверской;;;Площадь Революции;Ильинка 3/8 ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/295370167/;Москва;sale;flat;2;6;3;110.5;99000000;Пресненский;Малая Бронная ;32;Маяковская;
VESPER;developer;https://www.cian.ru/sale/flat/289484543/;Москва;sale;flat;9;9;3;101.0;180790000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 1390606;real_estate_agent;https://www.cian.ru/sale/flat/299735585/;Москва;sale;flat;4;18;3;110.0;198800000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Sminex;developer;https://www.cian.ru/sale/flat/293713709/;Москва;sale;flat;2;14;3;142.1;277800000;Якиманка;;;Полянка;Лаврушинский ЖК
ID 108172779;real_estate_agent;https://www.cian.ru/sale/flat/293460807/;Москва;sale;flat;8;8;3;213.4;234740000;Таганский;Славянская площадь;2/5с1;Китай-город;LUMIN
ID 39404589;developer;https://www.cian.ru/sale/flat/300127375/;Москва;sale;flat;3;34;3;54.4;20514240;Нагорный;;2;Нагорная;Твелв ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/279871964/;Москва;sale;flat;7;10;3;190.0;139000000;Басманный;Нижняя Красносельская ;35С50;Бауманская;TriBeCa APARTMENTS
MR Group;developer;https://www.cian.ru/sale/flat/299093606/;Москва;sale;flat;9;27;3;79.4;39050875;Даниловский;Дубининская ;59к6;Серпуховская;Павелецкая Сити
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/297681232/;Москва;sale;flat;2;5;3;88.0;67500000;Замоскворечье; Малая Ордынка;5/6С2-3;Третьяковская;
Sminex;developer;https://www.cian.ru/sale/flat/294328872/;Москва;sale;flat;2;6;3;176.5;312120000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299644232/;Москва;sale;flat;2;21;3;115.0;107000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Regions Development;developer;https://www.cian.ru/sale/flat/299905766/;Москва;sale;flat;2;24;3;97.2;43991195;Нагатинский затон;;;Технопарк;Дрим Тауэрс ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/298534728/;Москва;sale;flat;36;52;3;78.0;45800000;Раменки;Мичуринский проспект;56;Раменки;Небо — Небоскребы на Мичуринском, 56
Sminex;developer;https://www.cian.ru/sale/flat/298240165/;Москва;sale;flat;2;21;3;99.7;69430000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/278751260/;Москва;sale;flat;6;16;3;158.0;205000000;Якиманка; Большая Якиманка;22К3;Полянка;Коперник
ID 39404589;developer;https://www.cian.ru/sale/flat/299950992/;Москва;sale;flat;2;33;3;64.7;29742590;Даниловский;;;Серпуховская;Era
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/247174958/;Москва;sale;flat;8;53;3;150.0;135000000;Раменки;Мосфильмовская ;8;Ломоносовский проспект;Дом на Мосфильмовской
ANT Development;developer;https://www.cian.ru/sale/flat/300028431/;Москва;sale;flat;2;10;3;99.2;88757161;Дорогомилово;;3к8;Парк Победы;Виктори Парк Резиденсез ЖК
ID 22653;real_estate_agent;https://www.cian.ru/sale/flat/299755678/;Москва;sale;flat;5;5;3;120.4;127000000;Пресненский;Большой Патриарший переулок;4;Пушкинская;
Компания Пионер;developer;https://www.cian.ru/sale/flat/299879272/;Москва;sale;flat;-1;-1;-1;202.0;32830950;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/291604691/;Москва;sale;flat;4;6;3;219.4;304662679;Хамовники; Остоженка;11;Кропоткинская;Остоженка 11
Sminex;developer;https://www.cian.ru/sale/flat/299801864/;Москва;sale;flat;3;6;3;203.7;464610000;Хамовники;3-й Обыденский переулок;1С1;Кропоткинская;Клубный дом Обыденский № 1
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299237232/;Москва;sale;flat;11;53;3;96.0;78000000;Раменки;Мосфильмовская ;8;Ломоносовский проспект;Дом на Мосфильмовской
VESPER;developer;https://www.cian.ru/sale/flat/269051087/;Москва;sale;flat;-1;-1;-1;2.0;216819225;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Ramenky Realty;real_estate_agent;https://www.cian.ru/sale/flat/299011441/;Москва;sale;flat;3;11;3;118.71;135000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Ташир;developer;https://www.cian.ru/sale/flat/264100277/;Москва;sale;flat;3;32;3;121.5;47676600;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
HYDE Residences;real_estate_agent;https://www.cian.ru/sale/flat/299563562/;Москва;sale;flat;26;75;3;185.0;112000000;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
ID 39404589;developer;https://www.cian.ru/sale/flat/299991753/;Москва;sale;flat;5;42;3;62.5;34068750;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299776865/;Москва;sale;flat;53;75;3;224.0;185149000;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
MR Group;developer;https://www.cian.ru/sale/flat/291757183/;Москва;sale;flat;5;43;3;85.13;35098867;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300139607/;Москва;sale;flat;4;8;3;162.9;385000000;Хамовники;переулок Хилков;1;Парк Культуры;Парк Палас
Absolute Premium;developer;https://www.cian.ru/sale/flat/298887069/;Москва;sale;flat;13;18;3;82.4;97922000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296898956/;Москва;sale;flat;12;12;3;68.8;33000000;Фили-Давыдково; Ивана Франко;6;Кунцевская;MainStreet
MR Group;developer;https://www.cian.ru/sale/flat/299928849/;Москва;sale;flat;9;17;3;145.06;208631094;Мещанский;м. Цветной бульвар;;Цветной бульвар;Клубный дом Forum
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300116453/;Москва;sale;flat;9;14;3;83.0;98000000;Мещанский; Советской Армии;6;Достоевская;Barkli Park
MR Group;developer;https://www.cian.ru/sale/flat/300122115/;Москва;sale;flat;34;54;3;84.01;42564927;Хорошево-Мневники; Мневники;;Полежаевская;JOIS
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/299957605/;Москва;sale;flat;10;12;3;126.6;60000000;Якиманка;Конный переулок;4;Шаболовская;
Пионер;developer;https://www.cian.ru/sale/flat/297834627/;Москва;sale;flat;4;11;3;85.3;63218218;Даниловский;;;Павелецкая;Опус ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299844612/;Москва;sale;flat;6;16;3;122.6;120000000;Хамовники;Ружейный переулок;3;Смоленская;Смоленская Застава
EraOneHolding;developer;https://www.cian.ru/sale/flat/291467888/;Москва;sale;flat;4;5;3;133.6;146300000;Арбат; Арбат;39;Смоленская;Artisan
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/298752950/;Москва;sale;flat;2;13;3;103.0;193000000;Хамовники;Погодинская ;2;Киевская;Жизнь на Плющихе
