author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Виталий Ниязов;realtor;https://www.cian.ru/sale/flat/299891077/;Москва;sale;flat;9;17;2;60.6;20690000;Орехово-Борисово Южное;Каширское шоссе;65к2;Домодедовская;Ясный
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/299515691/;Москва;sale;flat;6;16;2;54.9;20990000;Кунцево;Ярцевская ;27К7;Молодёжная;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/299572559/;Москва;sale;flat;11;27;2;51.2;20999900;Щукино; Берзарина;32к3.2;Панфиловская;Октябрьское поле
Бест офис на Таганской;real_estate_agent;https://www.cian.ru/sale/flat/299742289/;Москва;sale;flat;11;21;2;70.6;20900000;Сокольники; Сокольнический Вал;3;Рижская;Резиденция Сокольники
Владис;real_estate_agent;https://www.cian.ru/sale/flat/299334625/;Москва;sale;flat;22;22;2;58.3;20900000;Южнопортовый;2-й Южнопортовый проезд;13;Кожуховская;
ID 111134018;homeowner;https://www.cian.ru/sale/flat/297811979/;Москва;sale;flat;11;29;2;60.4;20900000;Зябликово;Ореховый бульвар;24К1;Зябликово;Fresh
СТОЛИЦА Департамент недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/299895439/;Москва;sale;flat;2;14;2;54.4;21000000;Академический; Шверника;11К3;Академическая;
MR Group;developer;https://www.cian.ru/sale/flat/295673519/;Москва;sale;flat;25;27;2;67.31;21195850;Покровское-Стрешнево;Северо-Западный ао;;Трикотажная;Сити Бэй ЖК
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/299715030/;Москва;sale;flat;1;5;2;60.9;21000000;Даниловский;2-й Павловский переулок;3;Серпуховская;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/299180067/;Москва;sale;flat;9;15;2;38.9;21300000;Можайский; Красных Зорь;33А;Рабочий посёлок;Манифест
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/299731063/;Москва;sale;flat;17;45;2;46.0;21500000;Западное Дегунино;Ильменский проезд;14к3;Селигерская;Селигер Сити
