author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Forma;developer;https://www.cian.ru/sale/flat/297983411/;Москва;sale;flat;18;25;1;46.8;21250476;Аэропорт;Часовая ;28к8;Сокол;SOUL
РКС Девелопмент;developer;https://www.cian.ru/sale/flat/299971358/;Москва;sale;flat;11;16;1;45.96;21388600;Даниловский;Автозаводская ;24К1;Тульская;Дом на набережной INSIDER
Левченко-реалти;real_estate_agent;https://www.cian.ru/sale/flat/298090008/;Москва;sale;flat;8;62;1;39.3;21390000;Хорошево-Мневники; Народного Ополчения;15К2;Народное Ополчение;Wellton Towers
ФСК;developer;https://www.cian.ru/sale/flat/270815782/;Москва;sale;flat;21;29;1;34.7;21583400;Нагатино-Садовники;Варшавское шоссе;37АК1;Нагатинская;Rotterdam
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/289243596/;Москва;sale;flat;4;48;1;39.9;21500000;Ростокино;;;Ботанический сад;Режиссер ЖК
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/298549422/;Москва;sale;flat;9;11;1;50.0;21500000;Филевский парк;Барклая ;6;Багратионовская;Барклая 6
Главстрой;developer;https://www.cian.ru/sale/flat/296921144/;Москва;sale;flat;9;20;1;41.2;21576728;Филевский парк;Береговой проезд;2;Народное Ополчение;Береговой-2
ЛСР;developer;https://www.cian.ru/sale/flat/293204038/;Москва;sale;flat;9;16;1;41.6;21881267;Даниловский; Архитектора Щусева;4к1;ЗИЛ;ЗИЛАРТ
Regions Development;developer;https://www.cian.ru/sale/flat/299905713/;Москва;sale;flat;6;17;1;45.47;21804715;Преображенское;Жилой комплекс Преображенская площадь;;Преображенская площадь;Преображенская площадь
SPENСER ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/297150066/;Москва;sale;flat;6;24;1;63.0;21800000;Крылатское;Рублевское шоссе;70к7;Крылатское;Крылатский
ФСК;developer;https://www.cian.ru/sale/flat/297425781/;Москва;sale;flat;9;29;1;32.6;21869971;Нагатино-Садовники;Варшавское шоссе;37Ак3;Нагатинская;Rotterdam
Forma;developer;https://www.cian.ru/sale/flat/298002920/;Москва;sale;flat;2;25;1;44.7;21671579;Печатники;Южнопортовая ;;Печатники;Portland
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/297766871/;Москва;sale;flat;25;30;1;41.5;21799999;Хорошево-Мневники;;;;Сидней Сити ЖК
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/292243507/;Москва;sale;flat;4;39;1;36.7;21999990;Ростокино;;;Ботанический сад;Режиссер ЖК
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/296403474/;Москва;sale;flat;24;28;1;38.3;22000000;Хорошево-Мневники;бульвар Генерала Карбышева;11;Карамышевская;Union Park
Центральный Департамент Недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/298526069/;Москва;sale;flat;6;36;1;34.0;21900000;Хорошево-Мневники;Шелепихинская набережная;40к1;;Sydney City
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/299370733/;Москва;sale;flat;4;6;1;45.5;22158500;Хорошево-Мневники; Саляма Адиля;2А;Народное Ополчение;Wellton SPA Residence
October Group;developer;https://www.cian.ru/sale/flat/294204152/;Москва;sale;flat;6;11;1;40.5;22222703;Раменки; Лобачевского;124к3А;Аминьевская;Stories на Мосфильмовской
ФСК;developer;https://www.cian.ru/sale/flat/289700078/;Москва;sale;flat;44;47;1;42.0;22121400;Обручевский; Академика Волгина;2С2;Калужская;Архитектор
ID 39404589;developer;https://www.cian.ru/sale/flat/299971682/;Москва;sale;flat;29;34;1;43.3;22381770;Обручевский;;1;Калужская;Эвер ЖК
Ольга Фраткина;realtor;https://www.cian.ru/sale/flat/294716072/;Москва;sale;flat;11;17;1;55.8;22500000;Покровское-Стрешнево;Волоколамское шоссе;60К2;Щукинская;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/298139761/;Москва;sale;flat;2;13;1;45.1;22500000;Хорошево-Мневники;Жилой комплекс остров;к5;Терехово ;Остров
ID 111135638;homeowner;https://www.cian.ru/sale/flat/296125330/;Москва;sale;flat;10;40;1;44.98;22500000;Даниловский;бульвар Братьев Весниных;1;ЗИЛ;ЗИЛАРТ
Sminex;developer;https://www.cian.ru/sale/flat/293712461/;Москва;sale;flat;15;26;1;36.39;22860000;Марфино; Академика Королева;21;Телецентр;Дом Достижение
ФСК;developer;https://www.cian.ru/sale/flat/299255098/;Москва;sale;flat;13;47;1;37.6;22823200;Обручевский; Академика Волгина;2С2;Калужская;Архитектор
Группа Родина;developer;https://www.cian.ru/sale/flat/291797785/;Москва;sale;flat;9;23;1;44.7;22997000;Ростокино;;к2;Ботанический сад;Союз ЖК
