6,6,4,324.5,35,197900000
6,17,4,146.0,12,149900000
6,17,4,146.0,12,149900000
6,32,4,189.2,13,104500000
2,6,4,184.9,15,231100000
5,15,4,142.0,74,73700000
22,33,4,181.4,24,143500000
3,14,4,200.0,15,323300000
11,24,4,212.0,12,118800000
2,6,4,184.9,15,231100000
5,15,4,142.0,74,73700000
22,33,4,181.4,24,143500000
3,14,4,200.0,15,323300000
11,24,4,212.0,12,118800000
2,7,4,248.0,110,107200000
14,52,4,107.7,24,53600000
27,42,4,114.0,4,68900000
10,58,4,106.0,9,57100000
27,41,4,109.7,4,71300000
20,41,4,162.9,4,105900000
38,58,4,108.6,9,58500000
30,53,4,107.0,9,57600000
11,58,4,108.2,9,46100000
33,34,4,121.9,28,48200000
2,6,4,214.0,24,275700000
4,12,4,101.0,24,64900000
41,53,4,108.5,9,46200000
2,14,4,131.0,24,80000000
7,11,4,203.0,19,144200000
11,38,4,150.0,24,75100000
3,18,4,161.6,107,65600000
3,12,4,181.0,15,248400000
6,18,4,121.9,107,49500000
6,41,4,91.0,4,69600000
3,4,4,142.0,1,67200000
10,37,4,112.8,4,85500000
7,41,4,132.9,4,80300000
4,5,4,170.0,15,220500000
20,41,4,164.0,4,99100000
7,11,4,203.1,19,144300000
6,12,4,137.0,24,89100000
6,8,4,170.0,24,226600000
6,6,4,169.0,12,97300000
2,6,4,214.0,24,275700000
3,8,4,180.0,24,200700000
4,11,4,204.0,15,328100000
7,8,4,200.0,1,112000000
8,8,4,200.5,1,119500000
6,7,4,185.0,1,98300000
28,32,4,81.0,25,35300000
4,6,4,169.7,15,187200000
28,32,4,146.9,4,68800000
7,8,4,190.0,22,192500000
3,11,4,145.0,27,121100000
25,53,4,150.7,24,94200000
8,9,4,150.0,24,199900000
7,24,4,205.0,1,153200000
44,53,4,158.0,24,98800000
16,21,4,154.0,12,173700000
7,24,4,108.0,4,52900000
7,21,4,137.0,12,154500000
1,12,4,226.0,24,284100000
12,52,4,107.0,24,67300000
31,53,4,163.0,24,129000000
3,6,4,160.1,15,106900000
5,7,4,200.0,15,404300000
28,46,4,95.3,5,47700000
11,16,4,196.0,22,159600000
4,5,4,177.4,12,299500000
6,12,4,153.0,15,241100000
14,22,4,140.0,24,61500000
9,14,4,101.1,24,65000000
21,32,4,142.9,13,80200000
5,6,4,95.0,22,80900000
28,29,4,117.0,9,70800000
3,14,4,92.0,24,50700000
9,25,4,90.0,25,54200000
38,48,4,171.7,13,88400000
44,53,4,157.0,24,105600000
7,10,4,201.0,19,142800000
4,5,4,176.7,15,158700000
28,65,4,228.4,12,166300000
3,5,4,169.7,12,175500000
5,8,4,140.0,18,70100000
5,6,4,455.0,33,151400000
22,53,4,130.0,24,102900000
3,6,4,201.0,22,151200000
8,9,4,150.0,24,199900000
2,10,4,163.8,15,161700000
3,5,4,201.0,22,151200000
6,7,4,143.0,6,134200000
3,14,4,92.0,24,50700000
9,29,4,79.5,23,39400000
5,7,4,180.0,15,363900000
18,31,4,180.0,25,107800000
6,7,4,230.0,15,273000000
11,17,4,140.0,24,81200000
3,10,4,149.0,1,166400000
11,12,4,110.5,27,72900000
21,44,4,133.0,24,87600000
6,7,4,143.0,6,134200000
6,8,4,131.0,6,66500000
4,12,4,212.0,12,271800000
26,41,4,138.2,4,104800000
6,23,4,160.0,25,90200000
8,21,4,188.0,12,154400000
3,6,4,200.0,22,150500000
6,8,4,131.2,6,66600000
3,10,4,106.0,24,55200000
3,13,4,110.4,1,97500000
63,79,4,225.0,12,215800000
10,13,4,151.0,15,151700000
3,18,4,102.0,24,53100000
6,10,4,180.0,107,55000000
5,8,4,140.0,18,73900000
21,44,4,134.0,24,88200000
5,21,4,136.0,12,107000000
49,57,4,156.0,4,126500000
2,6,4,103.3,6,61800000
3,7,4,188.7,15,327100000
2,5,4,132.0,15,253600000
6,8,4,105.0,3,61600000
10,10,4,102.6,5,41400000
40,53,4,165.0,24,130500000
9,18,4,165.9,12,147000000
40,54,4,165.0,24,130500000
6,14,4,170.0,12,97000000
12,22,4,160.0,12,87900000
6,13,4,146.0,12,159600000
17,20,4,116.4,35,73400000
5,8,4,330.0,22,372700000
4,12,4,148.7,19,94400000
38,48,4,180.0,13,73200000
7,16,4,173.0,28,66000000
4,6,4,101.7,12,73500000
3,7,4,118.0,30,124300000
5,7,4,160.0,3,222600000
10,11,4,135.2,6,88300000
4,9,4,202.0,15,324900000
2,5,4,161.0,12,166800000
6,17,4,146.0,12,133400000
4,4,4,133.0,12,95900000
5,7,4,158.0,3,201900000
10,18,4,102.5,5,42000000
28,33,4,130.0,29,46200000
7,19,4,137.0,24,94300000
4,4,4,133.2,12,96100000
22,39,4,98.1,24,39800000
5,5,4,116.0,12,87500000
14,50,4,100.0,12,59800000
